cnt,operation,ntokens,avgsaliency,median
162,call,2,0.3886631883888183,0.4115284411636995
11485,call,3,0.3093647936884816,0.2694300518134715
4358,call,4,0.21890853539318636,0.175
3265,call,5,0.19708781396929786,0.15873015873015872
72969,call,6,0.25494949334618827,0.2127659574468085
11082,call,7,0.1649539854242269,0.11764705882352941
25935,call,8,0.20378141403678754,0.16022099447513813
24345,call,9,0.24887367542219654,0.21333333333333335
41773,call,10,0.20757675170212692,0.16
9648,call,11,0.156872355791103,0.09859154929577464
40153,call,12,0.3284694989538215,0.3333333333333333
12207,call,13,0.117154349799959,0.07909604519774012
14567,call,14,0.2236336985497508,0.18543046357615894
5506,call,15,0.1782263219308571,0.14285714285714285
10994,call,16,0.18163688315618745,0.16546762589928057
1697,call,17,0.11740354038871548,0.06666666666666667
9405,call,18,0.3058288937002429,0.29365079365079366
5043,call,19,0.1971633356616129,0.1702127659574468
119186,call,20,0.1513965793914403,0.10909090909090909
