ntokens,avgsaliency,stddev,min,max,median,firstquartile,thirdquartile,avgplusstddev,avgminusstddev
1,0.647138147074347,0.27656552623413155,0.0,1.0,0.6964285714285714,0.4357142857142857,0.8928571428571429,0.9237036733084786,0.37057262084021547
2,0.7264763653223374,0.27200975263869376,0.0,1.0,0.8372093023255814,0.5675361407919547,0.9393939393939394,0.9984861179610311,0.45446661268364363
3,0.5546255794498889,0.2714618928747484,0.0,1.0,0.5769230769230769,0.3333333333333333,0.7863247863247863,0.8260874723246373,0.28316368657514046
4,0.4670585307403567,0.2696417852468183,0.0,1.0,0.4594594594594595,0.23776223776223776,0.6875,0.736700315987175,0.19741674549353838
5,0.403326445224372,0.24991136715004048,0.0,1.0,0.38,0.19230769230769232,0.5921052631578947,0.6532378123744125,0.15341507807433152
6,0.3075646253513165,0.22880311377493454,0.0,1.0,0.26582278481012656,0.11428571428571428,0.46457563932826984,0.536367739126251,0.07876151157638198
7,0.3900322392441437,0.2468608114806063,0.0,1.0,0.36486486486486486,0.18181818181818182,0.5772357723577236,0.63689305072475,0.14317142776353742
8,0.3442471223999629,0.24358673070880696,0.0,1.0,0.3090909090909091,0.13580246913580246,0.5197368421052632,0.5878338531087699,0.10066039169115595
9,0.4612113216762474,0.26682149721511467,0.0,1.0,0.45454545454545453,0.23478260869565218,0.68,0.7280328188913621,0.19438982446113273
10,0.2862534427267608,0.23615868415527141,0.0,1.0,0.22826086956521738,0.08380724584350852,0.4489795918367347,0.5224121268820322,0.05009475857148937
11,0.4973972543256039,0.25317610495222276,0.0,1.0,0.5180722891566265,0.2972972972972973,0.7021276595744681,0.7505733592778266,0.24422114937338113
12,0.31689561040467157,0.2296759074912699,0.0,1.0,0.3033247375207221,0.10435977066411849,0.5,0.5465715178959415,0.08721970291340167
13,0.3406049925597019,0.27104100404177733,0.0,1.0,0.2932330827067669,0.08823529411764706,0.5625,0.6116459966014792,0.06956398851792456
14,0.21852533716349803,0.20441819919988172,0.0,1.0,0.15759222661396574,0.04660200024099289,0.35,0.4229435363633798,0.014107137963616317
15,0.2634081945691508,0.2512693903073983,0.0,1.0,0.18543046357615894,0.0449438202247191,0.4306569343065693,0.5146775848765491,0.012138804261752512
16,0.15186861865622803,0.1424363097569014,0.0,0.9400921658986175,0.11607142857142858,0.037037037037037035,0.23255813953488372,0.29430492841312944,0.009432308899326614
17,0.1142624211423994,0.14940904336787975,0.0,1.0,0.05405405405405406,0.013675333146957413,0.15942028985507245,0.2636714645102791,-0.035146622225480345
18,0.22225084813889692,0.19267661654498583,0.0,1.0,0.18604651162790697,0.05,0.35251798561151076,0.41492746468388275,0.029574231593911093
19,0.1416010577961434,0.1470524146567664,0.0,0.9876543209876543,0.09375,0.022727272727272728,0.22141494002181025,0.28865347245290984,-0.005451356860623008
20,0.13221299107203238,0.14092846656464766,0.0,1.0,0.08433734939759036,0.023937770392229895,0.1987179487179487,0.2731414576366801,-0.008715475492615282
